"2022/11/01 TWSE Indices"
"Index","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"4155","329,293","183","7,440,696","22.35","22.75","22.35","22.65","+","0.30","22.60","25","22.65","7","18.41",
"4164","78,852","77","3,161,296","39.60","40.30","39.55","40.25","+","0.70","40.15","2","40.30","5","17.35",
"4190","62,329","100","4,513,635","72.30","72.80","72.10","72.20","-","0.20","72.10","3","72.30","1","25.33",
"4306","214,050","143","2,798,352","13.00","13.15","13.00","13.15","+","0.20","13.10","22","13.15","17","0.00",
"4426","239,569","156","5,578,620","22.95","23.45","22.80","23.30","+","0.35","23.30","2","23.40","6","0.00",
"4438","452,278","314","57,529,914","124.00","129.50","124.00","127.00","+","2.00","126.50","6","127.00","5","17.19",
"4439","75,177","68","7,601,102","102.00","102.00","101.00","101.50","+","0.50","100.50","4","102.00","4","8.08",
"4440","7,000","3","233,650","33.35","33.45","33.35","33.45","+","0.10","33.55","2","33.60","1","8.40",
"4526","29,225","50","392,851","13.30","13.55","13.30","13.45","+","0.15","13.40","2","13.50","14","22.42",
"4532","247,467","151","3,942,640","15.75","16.00","15.75","15.85"," ","0.00","15.80","23","15.90","3","12.89",
"4536","334,168","353","57,573,422","174.00","174.50","170.50","171.50","-","1.00","171.50","4","172.00","7","10.94",
"4540","24,230","19","797,022","32.50","33.45","32.50","33.10","+","0.55","33.00","2","33.10","2","10.09",
"4545","11,158","14","304,066","27.00","27.40","27.00","27.20","+","0.30","27.05","3","27.30","4","12.89",
"4551","217,405","206","32,556,680","147.00","151.00","147.00","149.50","+","1.50","149.00","13","149.50","5","13.73",
"4552","24,460","26","699,297","28.55","28.70","28.55","28.65","+","0.10","28.60","2","28.70","3","8.23",
"4555","69,000","45","3,413,750","50.30","50.30","49.15","49.50","-","0.20","49.30","1","49.50","1","15.66",
"4557","66,203","45","6,711,503","100.50","102.50","100.50","102.00","+","1.00","101.50","1","102.00","2","12.70",
"4560","89,016","63","3,414,313","38.45","38.95","38.05","38.40","-","0.05","38.40","3","38.50","11","10.21",
"4562","38,000","27","564,300","15.05","15.05","14.80","14.80","-","0.20","14.80","2","14.85","8","0.00",
"4564","58,103","49","1,377,340","23.85","23.85","23.45","23.75","+","0.30","23.70","1","23.75","8","18.55",
"4566","767,916","549","39,561,421","51.50","52.00","51.00","51.50","+","0.50","51.40","8","51.70","2","11.60",
"4571","9,100","9","624,450","68.00","69.00","68.00","68.40"," ","0.00","68.40","1","68.70","1","9.19",
"4572","207,136","173","22,963,842","108.50","113.00","108.00","110.00","+","0.50","110.00","1","110.50","2","31.25",
"4576","24,092","31","1,563,978","64.60","65.60","64.00","65.50","+","0.90","65.50","1","66.00","3","20.40",
"4581","6,000","3","189,000","31.50","31.50","31.50","31.50"," ","0.00","30.90","1","31.50","5","12.80",
"4583","7,343","20","1,276,998","173.00","175.00","173.00","174.00","+","2.00","174.00","2","176.50","2","12.42",
"4720","170,112","94","2,383,472","13.95","14.10","13.90","14.10","+","0.25","14.10","19","14.15","17","52.22",
"4722","32,399","26","1,034,628","31.80","32.05","31.75","32.05","+","0.35","31.95","2","32.15","1","8.20",
"4737","41,004","27","3,019,999","73.20","74.40","72.90","74.20","+","1.00","74.20","2","74.40","3","39.05",
"4739","1,106,594","892","98,115,951","88.20","89.10","87.80","89.00","+","1.50","88.90","1","89.10","9","14.81",
"4746","340,070","270","16,505,768","47.75","49.10","47.70","48.55","+","1.25","48.55","5","48.60","3","0.00",
"4755","465,050","422","50,033,884","106.00","109.00","105.00","109.00","+","2.50","108.50","2","109.00","7","10.33",
"4763","1,424,367","1,017","161,886,795","109.50","116.00","109.50","115.00","+","5.50","115.00","44","115.50","10","8.75",
"4764","9,000","9","445,350","49.50","49.70","49.00","49.65","+","0.10","49.15","2","49.65","1","44.73",
"4766","49,171","42","6,313,588","128.00","129.50","127.50","129.00","+","0.50","129.00","1","129.50","4","11.83",
"4770","176,113","169","46,029,186","257.00","265.00","255.00","259.50","-","0.50","259.50","1","260.50","3","14.97",
"4807","1,002","3","18,286","18.25","18.25","18.25","18.25","-","0.05","18.25","1","18.55","1","9.41",
"4904","5,408,434","2,930","384,789,633","70.80","71.80","70.00","71.00","+","0.30","70.90","8","71.00","79","23.20",
"4906","991,381","622","26,133,862","26.25","26.45","26.10","26.40","+","0.25","26.35","37","26.40","17","21.29",
"4912","68,117","59","5,021,705","71.90","74.20","71.90","74.00","+","2.10","73.70","1","74.00","1","10.68",
"4915","15,281,321","8,315","814,312,012","54.00","54.00","52.90","53.20","-","0.90","53.20","45","53.30","83","9.91",
"4916","148,203","110","3,248,293","21.60","22.10","21.60","22.00","+","0.45","21.95","2","22.00","3","25.58",
"4919","6,051,343","3,740","628,013,699","102.00","105.00","102.00","104.00","+","1.50","103.50","227","104.00","85","10.17",
"4927","1,530,580","1,012","77,020,300","49.60","50.80","49.35","50.70","+","1.30","50.70","5","50.80","32","5.64",
"4930","47,012","52","1,124,803","23.65","24.40","23.50","23.60","-","0.05","23.60","8","23.80","6","4.43",
"4934","267,034","194","6,365,509","23.45","24.00","23.45","23.95","+","0.50","23.85","7","23.95","22","0.00",
"4935","846,250","547","46,082,141","55.00","55.50","53.60","54.80","-","0.10","54.70","12","54.80","2","7.17",
"4938","3,074,696","2,364","179,767,157","59.00","59.10","58.10","58.40","-","0.60","58.30","41","58.40","6","10.17",
"4942","128,437","113","4,308,448","33.75","33.75","33.40","33.65","+","0.05","33.60","2","33.65","2","6.05",
"4943","77,075","87","771,652","9.87","10.10","9.87","10.00","+","0.03","10.00","17","10.10","16","0.00",
"4952","245,101","216","11,031,100","44.15","45.30","44.15","44.90","+","0.20","44.85","3","45.00","27","5.92",
"4956","97,034","71","1,354,226","13.75","14.10","13.75","13.95","+","0.20","13.95","6","14.00","6","17.88",
"4958","2,649,470","1,605","284,599,228","106.00","108.50","105.50","108.00","+","2.00","108.00","35","108.50","232","8.19",
"4960","1,134,253","433","10,640,347","9.28","9.45","9.25","9.41","+","0.17","9.39","13","9.42","12","10.23",
"4961","3,194,190","2,434","331,212,106","102.50","104.50","102.50","103.50","-","0.50","103.50","100","104.00","70","4.68",
"4967","126,324","157","3,890,453","30.60","31.30","30.60","30.75","+","0.15","30.75","4","30.85","2","0.00",
"4968","6,035,211","4,379","609,982,160","94.40","104.50","94.40","101.00","+","5.60","101.00","39","101.50","29","136.49",
"4976","457,837","278","16,003,284","34.50","35.20","34.30","35.10","+","0.60","34.95","4","35.15","15","0.00",
"4977","1,313,326","1,099","121,159,915","87.60","94.00","87.40","93.30","+","4.60","93.30","5","93.40","2","32.17",
"4989","293,361","279","7,273,042","24.40","25.50","24.25","24.80","+","0.55","24.70","2","24.85","5","6.53",
"4994","41,387","47","1,705,948","40.90","41.40","40.90","41.30","+","0.40","41.30","1","41.35","4","29.08",
"4999","18,141","21","643,505","35.20","35.70","35.20","35.60","+","0.15","35.45","2","35.60","1","10.63",
"5007","30,012","31","1,578,328","52.60","53.00","52.50","52.50","-","0.30","52.50","2","52.60","2","14.83",
"5203","331,954","285","29,161,790","89.70","90.00","87.20","87.20","-","3.00","87.20","2","87.30","1","0.00",
"5215","677,799","548","35,126,233","51.20","53.10","50.60","51.80","+","1.00","51.80","1","51.90","1","9.56",
"5222","291,227","272","37,313,471","126.50","129.00","125.50","128.00","+","3.00","127.50","3","128.50","4","45.88",
"5225","3,601,518","1,894","126,573,099","32.85","36.05","32.50","36.05","+","3.25","36.05","2,051","--","0","4.08",
"5234","110,907","107","6,491,535","57.80","59.40","57.70","58.50","+","0.80","58.50","1","58.80","2","9.10",
"5243","621,939","462","36,838,162","58.90","59.60","58.80","59.10","+","0.20","59.10","63","59.20","6","19.00",
"5244","28,000","21","609,450","21.65","21.95","21.60","21.85","+","0.10","21.80","1","21.85","2","6.26",
"5258","14,301,080","8,657","849,949,632","56.60","60.50","56.60","60.00","+","2.90","60.00","89","60.10","28","11.76",
"5269","629,266","723","367,018,543","583.00","594.00","577.00","581.00","-","1.00","581.00","4","582.00","43","12.28",
"5283","25,232","36","2,557,171","101.00","101.50","100.50","101.50"," ","0.00","101.00","4","101.50","1","9.68",
"5284","238,875","147","11,521,335","48.00","48.60","47.80","48.60","+","0.75","48.60","1","48.70","2","14.77",
"5285","219,120","159","13,524,055","60.50","62.30","60.50","61.90","+","1.50","61.80","3","61.90","17","12.71",
"5288","149,044","113","25,238,456","164.00","171.00","164.00","170.50","+","5.50","170.00","6","171.00","23","14.46",
"5306","53,444","110","7,604,781","139.50","143.50","139.50","142.50","+","3.00","142.00","1","142.50","2","8.78",
"5388","2,123,262","1,544","161,814,831","75.90","76.60","75.50","76.40","+","0.80","76.30","163","76.40","2","14.44",
"5434","130,222","237","19,592,020","149.50","151.50","149.50","150.00","+","0.50","150.00","21","150.50","5","8.83",
"5469","3,840,990","1,866","118,713,744","29.50","31.60","29.35","31.60","+","2.85","31.60","3,933","--","0","4.63",
"5471","171,991","205","7,973,978","46.00","46.50","46.00","46.35","+","0.40","46.35","3","46.40","9","6.18",
"5484","2,302","5","28,284","12.30","12.30","12.30","12.30","+","0.05","12.30","1","13.00","2","0.00",
"5515","60,133","48","661,222","10.90","11.00","10.90","11.00","+","0.10","10.95","4","11.00","30","11.96",
"5519","203,360","140","4,209,896","20.55","20.85","20.55","20.70","+","0.15","20.70","2","20.75","1","7.55",
"5521","203,797","135","1,321,136","6.44","6.50","6.44","6.49","+","0.05","6.47","6","6.49","53","0.00",
"5522","347,758","334","18,484,011","52.90","53.60","52.90","53.00","-","0.20","52.90","36","53.30","6","6.01",
"5525","33,000","25","785,100","23.80","24.00","23.50","23.95","+","0.15","23.90","1","23.95","1","11.92",
"5531","138,369","71","1,260,829","9.07","9.14","9.06","9.09","+","0.01","9.09","10","9.10","1","0.00",
"5533","147,475","74","2,540,653","17.25","17.30","17.10","17.25","+","0.05","17.15","1","17.25","10","3.15",
"5534","87,606","82","6,224,003","70.90","71.20","70.90","71.10"," ","0.00","71.00","3","71.10","1","7.56",
"5538","14,000","13","616,100","43.90","44.40","43.90","44.40","+","0.40","44.30","1","44.50","1","5.28",
"5546","16,000","16","761,900","48.10","48.10","47.35","47.60","-","0.40","47.35","1","47.65","1","17.18",
"5607","388,520","289","20,343,507","51.90","53.40","51.40","52.20","+","0.20","52.20","4","52.30","6","15.26",
"5608","8,644,830","3,706","192,491,892","22.30","22.60","22.00","22.00","X","0.00","21.95","245","22.00","96","2.71",
"5706","1,214,588","1,157","57,134,541","45.85","47.60","45.60","47.60","+","1.75","47.60","4","47.65","6","0.00",
"5871","7,683,142","5,136","1,183,707,590","153.00","156.00","150.50","154.50","+","5.50","154.00","23","155.00","398","10.25",
"5871A","77,051","37","7,262,216","93.90","94.40","93.90","94.40","+","0.50","94.30","14","94.50","1","0.00",
"5876","5,754,352","1,980","264,812,415","46.00","46.30","45.65","46.15","-","0.25","46.05","12","46.15","17","14.51",
"5880","7,035,920","2,642","177,249,490","25.00","25.35","24.80","25.35","+","0.35","25.30","105","25.35","450","17.36",
"5906","1","1","28","--","--","--","--"," ","0.00","30.40","2","31.30","1","10.10",
"5907","34,100","22","453,180","13.45","13.45","13.25","13.30"," ","0.00","13.25","9","13.30","5","0.00",
"6005","2,076,313","554","21,049,454","10.05","10.25","9.96","10.20","+","0.20","10.15","141","10.20","72","8.16",
"6024","123,781","126","4,328,449","35.00","35.10","34.85","35.00"," ","0.00","34.95","1","35.00","20","14.23",
"6108","38,023","28","614,825","16.15","16.25","16.10","16.15","+","0.15","16.10","1","16.15","6","24.10",
"6112","28,701","37","895,103","31.00","31.30","30.90","31.30","+","0.10","31.25","1","31.30","1","13.04",
"6115","65,215","51","2,647,421","40.45","40.70","40.40","40.60","+","0.05","40.60","1","40.65","5","12.12",
"6116","6,313,630","1,879","73,752,923","11.50","11.80","11.50","11.70","+","0.25","11.70","32","11.75","346","16.48",
"6117","150,982","140","1,976,882","12.85","13.35","12.85","13.15","+","0.20","13.15","1","13.20","4","0.00",
"6120","452,022","244","3,944,768","8.67","8.79","8.65","8.73","+","0.13","8.72","8","8.73","2","0.00",
"6128","63,001","33","1,739,677","27.60","27.70","27.40","27.70","+","0.05","27.65","2","27.70","3","8.34",
"6133","30,907,186","11,646","696,951,048","21.15","23.15","20.80","23.15","+","2.10","23.15","69,806","--","0","0.00",
"6136","37,263","33","664,962","17.90","18.00","17.75","17.85","-","0.05","17.80","1","17.95","5","13.95",
"6139","224,373","177","6,493,994","28.55","29.10","28.55","29.00","+","0.30","29.00","1","29.10","3","10.36",
"6141","109,888","73","2,164,413","19.55","19.80","19.55","19.80","+","0.15","19.80","5","19.85","22","10.70",
"6142","478,004","178","4,438,339","9.25","9.34","9.16","9.28"," ","0.00","9.23","1","9.28","4","4.73",
"6152","219,502","106","2,172,860","9.84","9.95","9.80","9.90","+","0.12","9.89","5","9.90","2","21.06",
"6153","19,508,880","7,703","480,157,682","24.95","25.20","24.20","24.50","+","0.40","24.50","189","24.55","195","0.00",
"6155","72,209","66","1,514,029","20.75","21.20","20.75","21.15","+","0.40","21.15","7","21.20","16","11.82",
"6164","148,721","100","1,389,252","9.21","9.42","9.21","9.38","+","0.17","9.37","6","9.38","4","34.74",
"6165","191,066","149","4,970,139","25.20","27.00","25.20","26.65","+","1.45","26.40","2","26.65","1","80.76",
"6166","56,010","49","2,808,000","50.20","50.30","50.00","50.20","+","0.25","50.10","6","50.20","4","20.24",
"6168","219,292","154","3,464,056","15.40","15.90","15.40","15.85","+","0.35","15.80","6","15.85","5","8.30",
"6176","1,455,407","2,345","142,654,000","98.40","98.60","97.50","98.20","-","0.20","98.00","6","98.20","6","6.98",
"6177","80,093","85","2,118,533","26.60","26.60","26.35","26.50","+","0.15","26.50","5","26.55","3","4.82",
"6183","23,934","59","1,326,227","54.90","55.80","54.80","55.30","+","0.80","55.40","1","55.50","1","16.86",
"6184","20,260","19","980,060","48.50","48.50","48.30","48.40","+","0.05","48.40","1","48.50","4","11.58",
"6189","132,955","131","4,719,156","35.20","35.60","35.20","35.60","+","0.40","35.55","4","35.60","19","7.56",
"6191","3,622,848","1,919","97,888,665","26.20","27.70","26.15","27.35","+","1.55","27.30","29","27.35","57","4.60",
"6192","48,193","79","3,210,150","65.60","67.40","65.60","66.70","+","0.90","66.70","1","66.80","1","8.43",
"6196","566,498","529","55,467,946","98.00","98.90","97.10","97.60","-","0.30","97.50","5","97.70","12","10.60",
"6197","80,217","87","2,833,208","35.15","35.45","35.15","35.40","+","0.25","35.40","1","35.45","1","11.13",
"6201","3,000","3","113,550","37.85","37.85","37.85","37.85","+","0.05","37.85","3","39.45","2","11.10",
"6202","566,581","1,228","37,068,957","65.80","65.90","64.70","65.80","-","0.60","65.70","10","65.90","7","9.55",
"6205","3,295,780","2,379","271,086,684","83.70","83.70","81.10","83.10","+","0.60","83.00","38","83.20","11","26.98",
"6206","274,805","270","17,610,795","63.40","64.40","63.20","64.30","+","0.90","64.20","10","64.30","1","8.54",
"6209","296,601","170","6,952,772","23.00","23.65","23.00","23.60","+","0.60","23.55","4","23.60","9","0.00",
"6213","1,206,129","938","67,243,885","54.60","56.50","54.60","55.70","+","0.90","55.60","13","55.70","13","8.68",
"6214","629,455","113","41,802,876","66.60","66.60","66.00","66.30","+","0.10","66.30","2","66.50","3","19.44",
"6215","95,001","71","1,893,169","19.85","20.05","19.80","20.05","+","0.35","20.00","2","20.05","2","7.29",
"6216","102,200","78","2,548,659","24.75","25.05","24.65","24.95","+","0.30","24.95","10","25.00","23","9.67",
"6224","92,841","90","4,946,077","52.90","53.80","52.90","53.50","+","0.70","53.30","2","53.50","22","17.48",
"6225","40,064","53","264,556","6.59","6.62","6.19","6.19","-","0.11","6.15","1","6.31","2","0.00",
"6226","324,623","196","3,263,136","9.98","10.15","9.97","10.10","+","0.18","10.05","40","10.15","52","505.00",
"6230","11,099","17","1,131,695","102.00","102.00","101.50","101.50","+","1.00","101.00","2","102.00","2","33.95",
"6235","3,925,181","2,131","123,627,301","30.70","31.95","30.60","31.65","+","0.65","31.65","83","31.70","12","25.73",
"6239","3,009,109","2,579","222,741,023","74.60","74.90","73.40","73.80","-","0.80","73.70","3","73.80","14","5.57",
"6243","192,755","191","4,932,258","24.90","25.90","24.90","25.50","+","0.75","25.50","1","25.70","1","12.62",
"6257","1,346,562","1,011","63,184,536","46.60","47.05","46.55","47.00","+","0.50","47.00","32","47.05","17","6.35",
"6269","8,595,754","6,217","830,180,952","96.20","98.70","94.30","97.00","+","5.40","96.90","99","97.00","17","9.37",
"6271","889,003","1,427","154,454,421","171.00","175.00","171.00","174.00","+","1.00","174.00","3","174.50","18","8.73",
"6277","10,331","17","783,175","75.70","76.00","75.60","75.80","+","0.20","75.60","4","75.80","1","14.30",
"6278","3,309,656","2,626","279,879,469","81.90","86.00","81.60","85.50","+","3.60","85.50","3","85.60","34","5.63",
"6281","9,585","29","774,124","80.90","80.90","80.50","80.90","+","0.10","80.80","1","80.90","4","13.01",
"6282","3,257,097","1,736","91,681,011","27.65","28.50","27.65","28.40","+","0.80","28.40","5","28.45","61","20.88",
"6283","229,693","172","7,008,719","29.95","30.85","29.95","30.85","+","0.90","30.70","4","30.85","2","181.47",
"6285","2,620,970","2,060","220,489,738","82.80","84.50","82.80","84.30","+","0.60","84.20","38","84.30","38","21.90",
"6288","263,000","163","5,469,450","20.45","20.95","20.30","20.85","+","0.40","20.80","6","20.90","2","1,042.50",
"6405","7,002","8","143,240","20.50","20.50","20.40","20.45","+","0.05","20.35","1","20.50","2","27.64",
"6409","198,395","325","277,877,225","1,350.00","1,435.00","1,350.00","1,420.00","+","110.00","1,400.00","7","1,420.00","7","39.96",
"6412","98,607","103","6,938,033","70.40","70.60","70.10","70.10","+","0.20","70.10","4","70.20","1","8.90",
"6414","433,098","438","81,403,691","185.00","189.50","184.50","189.00","+","4.00","189.00","3","189.50","22","12.59",
"6415","2,530,526","2,239","985,287,465","380.00","395.00","377.50","392.50","+","18.50","391.00","1","392.50","14","21.66",
"6416","99,500","84","7,985,125","79.60","80.70","79.60","80.20","+","0.30","80.10","3","80.20","1","19.47",
"6426","530,402","385","31,370,944","56.20","61.70","56.20","58.20","+","2.10","58.20","18","58.30","1","44.43",
"6431","36,001","23","723,419","20.15","20.20","19.95","19.95","-","0.05","19.90","3","20.00","7","0.00",
"6438","224,038","201","17,122,740","75.10","77.00","74.80","77.00","+","1.20","76.90","4","77.00","10","7.92",
"6442","509,982","424","20,446,309","39.20","40.70","38.90","40.45","+","1.25","40.35","7","40.45","1","12.64",
"6443","9,611,939","5,280","331,133,547","34.00","34.90","33.75","34.85","+","1.35","34.85","17","34.90","139","85.00",
"6449","12,012","17","488,050","40.30","40.80","40.30","40.50","+","0.20","40.50","1","40.60","6","10.00",
"6451","79,029","70","6,301,622","79.00","80.30","79.00","80.10","+","0.80","80.00","2","80.40","12","79.31",
"6456","1,085,548","809","83,928,704","76.70","78.00","76.70","77.50","-","0.30","77.50","13","77.60","9","6.59",
"6464","27,048","101","2,466,096","91.90","92.00","90.50","90.70","-","1.20","90.70","5","91.00","2","11.32",
"6477","1,312,352","975","55,828,485","42.10","42.90","42.05","42.80","+","0.85","42.75","23","42.80","1","38.91",
"6491","469,350","476","132,243,323","284.50","285.00","279.00","281.50","-","1.00","281.00","8","281.50","19","13.77",
"6504","14,015","25","985,349","70.80","70.80","69.90","70.30","+","0.30","69.80","2","70.30","4","195.28",
"6505","1,786,864","1,257","148,014,787","82.50","83.30","81.60","83.20","+","0.20","83.00","54","83.20","37","16.35",
"6515","138,685","144","42,836,662","306.50","311.00","306.50","309.50","+","2.00","309.50","2","310.50","4","15.50",
"6525","58,438","63","3,673,765","62.40","63.50","62.30","63.00","+","0.70","62.90","2","63.10","1","8.25",
"6531","6,799,947","5,523","1,026,407,540","149.50","153.50","148.50","153.00","+","2.00","152.50","69","153.00","155","10.21",
"6533","4,586,024","4,108","1,722,972,748","371.00","380.00","370.50","380.00","+","7.00","380.00","5","380.50","55","71.29",
"6541","3,971,395","2,319","114,505,399","27.00","31.40","27.00","29.55","+","0.10","29.50","16","29.55","12","0.00",
"6550","18,072,764","11,562","1,654,280,341","90.00","93.80","88.20","92.30","+","2.20","92.20","5","92.30","26","0.00",
"6552","47,040","33","1,401,854","29.60","30.05","29.60","29.85","+","0.45","29.75","1","29.90","2","8.31",
"6558","501,487","290","9,349,398","17.20","18.90","17.20","18.90","+","1.70","18.90","185","--","0","0.00",
"6573","27,248","26","351,048","12.95","12.95","12.80","12.80","+","0.10","12.85","3","12.90","2","0.00",
"6579","51,099","52","3,862,225","75.80","75.80","75.40","75.70","+","0.40","75.70","1","75.80","7","13.79",
"6581","60,101","50","5,338,589","87.60","89.50","87.50","88.90","+","0.60","88.80","1","88.90","1","11.18",
"6582","37,361","59","1,936,039","51.10","52.00","51.10","51.90","+","0.50","51.60","2","51.90","1","4.22",
"6585","52,084","47","2,399,088","45.85","46.50","45.85","46.40","+","0.45","46.10","2","46.40","1","12.31",
"6591","93,001","95","3,613,424","38.00","39.10","38.00","39.10","+","0.95","38.75","1","39.15","3","4.51",
"6592","498,888","479","47,910,251","93.10","97.00","93.10","96.10","+","2.00","96.10","2","96.20","3","14.34",
"6592A","21,000","12","1,951,300","92.40","93.00","92.40","92.90","+","0.50","92.80","1","93.00","6","0.00",
"6598","96,805","83","2,402,304","24.95","25.00","24.50","24.80","+","0.30","24.80","2","24.85","7","0.00",
"6605","693,581","506","47,119,545","66.90","68.40","66.70","68.10","+","1.60","68.00","6","68.10","6","7.31",
"6625","13,000","13","396,450","30.80","30.80","30.25","30.35","+","0.05","30.20","2","30.50","7","0.00",
"6641","65","6","3,380","--","--","--","--"," ","0.00","52.10","2","52.20","1","8.53",
"6655","8,000","8","1,050,000","130.00","133.50","130.00","132.00","-","2.00","133.00","1","134.00","2","15.81",
"6666","324,786","295","25,053,273","77.40","78.50","76.10","76.30","-","0.60","76.20","2","76.30","1","39.13",
"6668","71,054","60","2,554,636","35.60","36.15","35.60","35.90","+","0.30","35.85","6","36.00","9","0.00",
"6669","1,755,019","1,802","1,294,580,984","738.00","755.00","725.00","735.00","+","11.00","734.00","1","735.00","3","12.18",
"6670","146,786","113","26,965,549","182.00","184.50","182.00","184.50","+","3.00","184.00","5","184.50","16","7.17",
"6671","8,000","4","310,900","38.90","38.90","38.85","38.85","-","0.05","38.50","1","38.85","1","13.97",
"6672","154,268","128","9,353,825","59.80","61.10","59.80","61.00","+","1.60","60.90","1","61.00","5","7.21",
"6674","9,000","9","193,650","21.85","21.85","21.35","21.45","+","0.05","21.45","1","21.50","1","134.06",
"6689","185,939","192","15,286,725","83.50","83.60","81.00","82.20","-","1.30","82.20","1","82.70","1","34.11",
"6691","43,260","46","6,861,674","157.50","160.00","157.00","159.00","+","1.50","158.00","1","159.50","2","8.60",
"6698","49,002","48","1,317,102","26.60","27.10","26.60","27.10","+","0.55","27.10","1","27.15","1","67.75",
"6706","460,701","467","37,031,323","79.00","81.30","78.70","80.50","+","1.50","80.40","6","80.50","2","4.43",
"6715","100,610","96","11,515,274","112.00","115.50","112.00","114.00","+","0.50","113.50","4","114.00","1","19.42",
"6719","1,676,046","1,649","397,836,432","235.00","241.50","233.50","235.00","+","3.00","235.00","31","235.50","2","12.08",
"6743","79,312","80","2,406,250","30.00","30.75","29.50","30.20","+","0.55","30.10","2","30.30","2","0.00",
"6754","42,000","36","1,878,050","44.85","44.85","44.50","44.60","+","0.15","44.60","1","44.75","1","12.53",
"6756","538,071","930","93,643,280","170.00","177.00","169.00","174.00","+","4.00","173.50","13","175.00","5","11.55",
"6768","292,105","160","20,603,211","70.00","71.00","70.00","70.80","+","0.70","70.80","9","71.00","1","17.44",
"6770","12,290,770","6,247","378,622,653","30.60","31.15","30.60","30.65","-","0.15","30.65","253","30.70","38","4.54",
"6776","17,991","28","649,023","36.00","36.30","35.95","36.30","+","0.45","36.15","2","36.25","1","7.63",
"6781","883,033","1,110","498,192,494","564.00","573.00","552.00","571.00","+","7.00","571.00","1","572.00","5","17.38",
"6789","1,462,480","1,344","260,466,610","178.00","180.00","176.00","176.00","-","4.00","175.50","24","176.00","3","22.34",
"6790","16,666","25","583,470","35.05","35.05","34.85","34.95","+","0.05","35.00","1","35.05","1","11.85",
"6792","44,450","53","3,031,488","68.80","68.90","67.10","68.70","+","0.50","68.60","2","68.70","1","10.72",
"6796","89,356","104","6,412,687","70.20","73.00","69.60","71.50","+","1.30","71.50","2","71.90","3","32.95",
"6799","131,717","144","13,849,716","105.00","106.50","103.50","103.50","-","1.50","103.00","2","104.00","3","12.73",
"6806","152,404","169","9,330,223","60.80","61.50","60.70","61.30","+","0.60","61.30","1","61.40","2","44.10",
"6807","28,000","18","669,400","24.10","24.10","23.80","23.85","-","0.30","23.80","6","23.95","1","6.07",
"6830","106,192","284","8,604,748","82.90","82.90","80.20","81.60","-","1.30","81.50","2","81.70","3","12.46",
"6834","55,356","42","1,262,900","22.30","23.60","22.30","23.25","+","0.75","23.10","3","23.30","2","9.15",
"6854","114,022","86","10,442,857","88.20","94.00","88.20","93.50","+","5.30","93.50","9","93.80","2","0.00",
"8011","219,237","114","3,083,553","13.85","14.15","13.85","14.05","+","0.30","14.05","2","14.10","9","0.00",
"8016","980,117","851","165,482,380","165.50","170.00","165.50","169.50","+","4.00","169.00","18","169.50","4","3.29",
"8021","430,280","334","12,185,074","28.10","28.55","27.90","28.40"," ","0.00","28.40","6","28.45","1","8.77",
"8028","2,063,211","1,487","104,106,252","49.80","50.90","49.45","50.70","+","0.90","50.70","9","50.80","7","21.48",
"8033","5,548,427","2,212","125,127,856","21.75","22.70","21.75","22.70","+","2.05","22.70","68,481","--","0","227.00",
"8039","118,558","105","4,795,267","40.45","40.65","40.20","40.60","+","0.40","40.60","1","40.65","6","10.49",
"8046","10,573,673","10,605","2,219,079,181","211.00","213.50","207.50","208.50","-","3.00","208.50","204","209.00","52","8.74",
"8070","348,270","269","10,687,890","30.60","30.80","30.60","30.65","+","0.10","30.65","6","30.70","4","9.18",
"8072","259,133","217","6,148,916","22.75","24.40","22.75","24.00","+","1.40","24.00","4","24.05","3","26.37",
"8081","452,506","388","59,306,231","130.00","132.50","129.50","131.00","+","2.00","131.00","37","131.50","12","4.34",
"8101","91,763","58","541,228","5.89","5.93","5.89","5.90"," ","0.00","5.90","2","5.94","3","3.88",
"8103","132,526","96","4,044,060","30.20","30.70","30.20","30.60","+","0.50","30.60","1","30.70","6","6.23",
"8104","86,019","81","2,796,470","31.90","32.70","31.90","32.60","+","0.45","32.55","3","32.65","4","34.32",
"8105","935,900","347","10,522,426","11.05","11.30","11.05","11.25","+","0.20","11.25","42","11.30","20","8.52",
"8110","638,907","331","7,052,129","10.90","11.15","10.85","11.10","+","0.30","11.10","9","11.15","31","22.65",
"8112","1,109,874","674","37,312,338","33.45","33.85","33.30","33.85","+","0.70","33.80","14","33.85","17","5.08",
"8112A","7,542","11","311,310","41.20","41.45","41.20","41.40","-","0.10","41.20","5","41.45","1","0.00",
"8114","815,201","629","95,522,125","116.00","118.50","115.00","117.00","+","2.00","117.00","22","117.50","15","10.99",
"8131","115,066","175","4,344,662","37.60","38.00","37.60","37.75","+","0.15","37.75","3","37.80","3","8.41",
"8150","1,367,614","1,049","43,589,304","31.60","32.20","31.60","31.65","-","0.10","31.60","53","31.65","10","4.29",
"8163","253,374","197","9,689,266","38.00","38.45","38.00","38.40","+","0.55","38.35","7","38.45","9","9.19",
"8201","95,864","71","1,059,162","11.15","11.20","10.95","11.05","+","0.15","11.05","1","11.10","42","0.00",
"8210","145,835","139","9,799,135","66.80","67.70","66.60","67.60","+","1.40","67.40","1","67.60","1","10.58",
"8213","253,074","203","8,336,516","32.85","33.10","32.65","33.10","+","0.50","33.05","8","33.10","2","4.04",
